isbn,title,book_author,year_of_publication,publisher,stock
039457513X,Billy Bathgate,E. L. Doctorow,1989,Random House,90
0394559487,Citizens: A Chronicle of the French Revolution,Simon Schama,1989,Random House Inc,75
0804001944,The Man Who Killed the Deer,Frank Waters,1970,Ohio University Press,59
0590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children,41
0689832877,Sunwing (Aladdin Fantasy),Kenneth Oppel,2001,Aladdin,25
0689829698,Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction),Carol Ryrie Brink,1999,Aladdin,2
0439042917,The Hork-Bajir Chronicles (Animorphs Series),K. A. Applegate,1998,Scholastic,81
0064409457,The Silver Chair (full color) (Narnia),C. S. Lewis,2000,HarperTrophy,79
0064405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy,31
043922165X,Circles in the Stream (Avalon: Web of Magic, 1),Shelly R. Roberts,2001,19
0152162445,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,80
0152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,3
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,99
1562477528,Going for Great (Ag Fiction (American Girl)),Carolee Brockmann,1999,Pleasant Company Publications,56
0439221676,All That Glitters (Avalon, 2),Rachel Roberts,2001,60
0439221684,Cry of the Wolf (Avalon, 3),Rachel Roberts,2001,75
0439221714,The Secret of the Unicorn (Avalon Web of Magic, 4),Rachel Roberts,2000,94
0439221706,Avalon: Web Of Magic #5: Spellsinger,Rachel Roberts,2002,Scholastic Paperbacks,56
0439221730,Trial by Fire,Rachel Roberts,2002,Scholastic Paperbacks,60
0440415993,Ties That Bind, Ties That Break (Laurel-Leaf Books),Lensey Namioka,2000,44
0895872102,The Hauntings of Williamsburg, Yorktown, and Jamestown,Jackie Eileen Behrend,49
068983585X,The Janitor's Boy,Andrew Clements,2001,Aladdin,18
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,64
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf,88
185424597X,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,2003,Monarch Books,63
2080105434,The Little Book of Chocolate (Little Book Of...(Flammarion)),Alain Stella,2001,Flammarion,71
349913358X,Das Schlampenbuch. Erz�?¤hlungen. ( neue frau).,Milena Moser,1993,Rowohlt Tb.,86
3257201761,Die zwei Gesichter des Januars.,Patricia Highsmith,1974,Diogenes Verlag,58
3404121686,Nacht �?¼ber den Wassern.,Ken Follett,1994,L�?¼bbe,58
3404118960,Die S�?¤ulen der Erde. Roman.,Ken Follett,1992,L�?¼bbe,46
0345356578,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books,10
0345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey,1
0753804700,Reader,Bernhard Schlink,0,Phoenix Books,87
0451155750,The Dead Zone,Stephen King,2004,Signet Book,78
0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press,87
0415928087,A New Germany in a New Europe,Todd Herzog,2000,Routledge,48
0521427150,Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology),John Borneman,79
0812923278,The Great Depression : America 1929-1941,ROBERT S. MCELVAINE,1993,Three Rivers Press,46
0884111342,Lady of the Shroud,Bram Stoker,1989,Amereon Limited,73
0345428544,Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2),Michael A. Stackpole,2000,33
0671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket,42
080901582X,The Return of Simple,Langston Hughes,1995,Hill &amp,45
0449006557,Half Moon Street (Charlotte &amp, Thomas Pitt Novels (Paperback)),Anne Perry,2001,63
0373250339,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,2003,Red Dress Ink,47
0380820447,For Better, for Worse: A Novel,Carole Matthews,2002,16
0385497679,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,2000,Anchor Pub,53
0451454243,The Forest House,Marion Zimmer Bradley,1995,Roc,24
0941423042,American Poetry Since 1970: Up Late,Andrei Codrescu,1988,Four Walls Eight Windows,19
0373871562,Twin Blessings (Love Inspired (Numbered)),Carolyne Aarsen,2001,Steeple Hill,29
0553101439,West of Dodge: Frontier Stories,Louis L'Amour,1996,Bantam,63
0898151910,How to Make $1,000 a Minute: Negotiating Salaries and Raises,Jack Chapman,1987,4
0835949362,Non-manipulative selling,Anthony J Alessandra,1981,Reston Pub. Co,15
0880701102,Come Before Winter and Share My Hope,Charles R. Swindoll,1985,Word Publishing,3
039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons,27
0312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books,44
0688048730,Thinking on paper,V. A Howard,1986,W. Morrow,1
0425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group,84
0385493800,The Testament,John Grisham,1999,Doubleday Books,93
0849916399,The Internet Church,Walter P. Wilson,2000,W Publishing Group,26
1928791107,The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution,Bruce Fries,2000,Teamcom Books,66
067175145X,The Way Things Ought to Be,Rush H., III Limbaugh,1992,83
0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell,19
0877192820,The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts,Anne Dingus,1995,Gulf Publishing Company,64
0380002450,Awakening,Kate Chopin,1982,Avon,15
0793133955,Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp, Mutual Funds (Wall Street's Picks),Kirk Kazanjian,1999,51
0394178017,Poetics of the New American Poetry,Donald Merriam Allen,1974,Grove Press,35
0425134350,Patriot Games,Tom Clancy,1992,Berkley Publishing Group,44
0385479689,Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist,William Maples,1995,Main Street Books,76
0380754851,Moonlighting: 148 Great Ways to Make Money on the Side,Carl Hausman,1991,Harpercollins,3
0380538504,Amanda Miranda,Richard Peck,1981,Harper Mass Market Paperbacks (Mm),35
044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books,39
0671742566,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket,88
0515122408,The Cat Who Tailed a Thief,Lilian Jackson Braun,1998,Jove Books,60
0440222818,Guilt,John T. Lescroart,1998,Island,26
0451204050,On Secret Service,John Jakes,2001,Signet Book,99
038533334X,Charming Billy,Alice McDermott,1999,Delta,98
0449131548,All the Days of My Life,Hilary Bailey,1986,Fawcett Books,9
0440120470,The Dinner Party,Howard Fast,1991,Dell Publishing Company,9
0451188209,A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback)),Jessica Fletcher,1996,Signet Book,28
0440130913,Golden Cup,Belva Plain,1987,Dell,48
0449001954,Murder at the Library of Congress (Capital Crimes (Paperback)),Margaret Truman,2001,Fawcett Books,45
0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books,42
0451185277,Thorns of Truth,Eileen Goudge,1999,Signet Book,93
0440224829,Granny Dan,DANIELLE STEEL,2000,Random House,52
0671779338,Border Bride,Arnette Lamb,1993,Pocket,87
0515134368,The Penwyth Curse,Catherine Coulter,2004,Jove Books,87
0380759497,Xanth 15: The Color of Her Panties,Piers Anthony,1992,Eos,19
3442098424,Der F�?¼rst der Finsternis. Roman.,Anne Rice,1992,Goldmann,35
0394578791,A Reporter's Life,WALTER CRONKITE,1996,Knopf,25
1558505377,Jacob Marley's Christmas Carol,Tom Mula,1995,Adams Media Corp,5
0373245696,Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569),Lois Faye Dyer,2003,13
0743201078,The Secret Lives of Girls: What Good Girls Really Do--Sex Play, Aggression, and Their Guilt,Sharon Lamb,40
068983571X,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,2000,Aladdin,78
0553256785,SLEEPING MURDER,AGATHA CHRISTIE,1983,Bantam,94
0892967994,The Fractal Murders (Pepper Keane Mysteries),Mark Cohen,2004,Mysterious Press,13
0061064505,Blowtorch Psycho.Com (Bone Chillers, No 18),Sherry Shahan,1997,70
1551668785,Final Stand,Helen Myers,2002,Mira,55
0836230868,Christmas : A Holiday Treasury,Della Rowland,1994,Andrews McMeel Publishing,36
0381999866,Magic House of Numbers.,Irving. Adler,1974,Harpercollins Library,18
0380817144,Lord of the Silent: A Novel of Suspense,Elizabeth Peters,2002,Avon,20
0380752115,Whisper to Me of Love,Shirlee Busbee,1991,Harper Mass Market Paperbacks,35
0553212583,Wuthering Heights,EMILY BRONTE,1983,Bantam,98
0446364762,The Stars Shine Down,Sidney Sheldon,1993,Warner Books,93
0425166619,Toxin,Robin Cook,1999,Berkley Publishing Group,69
061312975X,This Present Darkness,Frank E. Peretti,1999,Sagebrush Bound,31
0765341972,The Mothman Prophecies,John A. Keel,2002,Tor Books,71
0590514776,Meet the Stars of Buffy the Vampire Slayer,Stefanie Scott,1998,Scholastic,1
0373037430,Rush to the Altar  (Twin Brides),Rebecca Winters,2003,Harlequin,44
0064472779,All-American Girl,Meg Cabot,2003,HarperTrophy,83
0553581279,The Silver Metal Lover,Tanith Lee,1999,Spectra Books,88
0373750013,The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997),Cathy Gillen Thacker,2003,7
0393030342,A Christmas Story,Richard Burton,1991,W W Norton &amp,52
0553561618,Dark Paradise,TAMI HOAG,1994,Bantam,40
0312422156,Middlesex: A Novel,Jeffrey Eugenides,2003,Picador,16
0425139069,Somebody Help Me,Beverly Hastings,1993,Berkley Publishing Group,43
0450029956,Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series),Cyrano de Bergerac,1976,New English Library,63
0130139165,Introduction to Fire Prevention (5th Edition),James C. Robertson,2000,Pearson Education,79
0373196741,To Catch A Sheik  (Desert Brides),Teresa Southwick,2003,Silhouette,52
0451524489,The Awakening and Selected Stories of Kate Chopin (Signet Classic),Kate Chopin,1995,Signet Book,64
0140065172,Ordinary People,Judith Guest,1993,Penguin Books,17
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell,39
0373123485,On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348),Sandra Field,2003,64
0373123108,Sleeping Partners  (Nine to Five),Helen Brooks,2003,Harlequin,6
0590225170,The Real Mother Goose,Blanche Fisher Wright,1994,Scholastic,38
0399143165,Toxin,Robin Cook,1998,Putnam Pub Group,53
044132231X,Heathcliff Gone Fishing,George Gately,1985,Diamond Books (NY),54
0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group,68
0786889705,Two for Texas,James Lee Burke,2000,Hyperion,22
0312282990,The Amazing Adventures of Kavalier &amp, Clay,Michael Chabon,2001,95
0425137945,Greygallows,Barbara Michaels,1993,Berkley Publishing Group,25
042512892X,Into the Darkness,Barbara Michaels,1996,Berkley Publishing Group,95
0425113892,Someone in the House,Barbara Michaels,1989,Berkley Publishing Group,92
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,42
0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books,37
014036336X,The House With a Clock in Its Walls,John Bellairs,1993,Puffin Books,34
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,71
0812516826,Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery),Carole Nelson Douglas,1993,Forge Books,4
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,53
0679420118,A Dangerous Place: California's Unsettling Fate (Images of America),Marc Reisner,2003,Pantheon Books,10
0871137380,Black Hawk Down: A Story of Modern War,Mark Bowden,1999,Atlantic Monthly Press,22
0741409690,The Burberry Style,Jonathan Pearce,2002,Infinity Publishing.com,34
0741407213,Heavier Than Air (Balona Books),Jonathan Pearce,2001,Infinity Publishing.com,79
0759612277,A Little Honesty: Trials and Triumphs of a Prince of Balona,Jonathan Pearce,2001,1stBooks Library,3
0741402858,The Balona Klongs,Jonathan Pearce,1999,Buy Books on the web.com,43
1585007366,Sang Froyd (Balona Books),Jonathan Pearce,1999,1stBooks Library,73
074141127X,The Chocolate Korndog,Jonathan Pearce,2002,Infinity Publishing (PA),39
0741403471,One Brick Shy,Jonathan Pearce,2000,Infinity Publishing (PA),88
0741403781,Spring Break,Jonathan Pearce,2000,Infinity Publishing (PA),14
0741403056,Focusing the Private Eye,Jonathan Pearce,2000,Infinity Publishing (PA),30
0741405784,A Cuisine of Leftovers,Jonathan Pearce,2000,Infinity Publishing (PA),75
0741402912,Finding Dad,Jonathan Pearce,1999,Infinity Publishing (PA),90
0553568760,Natural Causes,Michael Palmer,1995,Bantam Books,10
034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books,3
0140620125,Wuthering Heights (Penguin Popular Classics),Emily Bronte,1994,Penguin Books Ltd,66
0140620109,Emma (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,62
0375420827,The Art of Travel,Alain de Botton,2002,Pantheon,14
0671745530,SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1991,Pocket,33
0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books,8
0553211412,Wuthering Heights,Emily Bronte,1983,Bantam,29
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner,2
1573229385,The Frog King: A Love Story,Adam Davies,2002,Riverhead Books,72
0945397410,Outhouses of Alaska,Harry M. Walker,1996,Epicenter Press,27
0385334036,The Smoke Jumper,Nicholas Evans,2001,Delacorte Press,63
0060914653,The Unbearable Lightness of Being,Milan Kundera,1988,Harpercollins,75
0345347536,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books,64
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,15
3473540420,Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama),Vinke,0,15
0375507256,Cloud Atlas : A Novel,DAVID MITCHELL,2004,Random House Trade Paperbacks,38
0060529709,Everything Is Illuminated : A Novel,Jonathan Safran Foer,2003,Perennial,51
0876850867,Post Office,Charles Bukowski,1980,Black Sparrow Books,32
0140274154,On the Road (Essential.penguin S.),Jack Kerouac,1998,Penguin Books Ltd,23
0679743464,Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,1993,Vintage Books USA,83
0375704027,Norwegian Wood (Vintage International Original),Haruki Murakami,2000,Vintage Books USA,79
0874067391,A Little Princess,Frances Hodgson  Burnett,1996,Pages Publishing Group,41
0590484753,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1995,Point Fantasy,76
0451527038,The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Jack London,1998,Signet Classics,7
1590520777,A Life God Rewards for Teens (The Breakthrough Series),Bruce Wilkinson,2002,Multnomah,40
0590484672,Calling on Dragons (Read with Me Paperbacks),Patricia C. Wrede,1994,Point Fantasy,30
0975311255,A Temporary New Wife,Malcolm Goodway,2004,AuthorsOmniscient Publishers,12
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone,63
0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books,89
0553584510,The Survivors Club,LISA GARDNER,2003,Bantam,14
0345341201,Sins of Omission,FERN MICHAELS,1989,Ivy Books,50
1551662744,White Lies,Linda Howard,1997,Mira,61
0440175623,Random Winds,Belva Plain,1987,Dell,12
0440216842,The Carousel,Belva Plain,1998,Dell,31
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books,28
0553285653,Grass,Sheri S. Tepper,1990,Spectra Books,82
0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,1960,Random House Books for Young Readers,40
0060972777,This Boy's Life: A Memoir,Tobias Wolff,1989,Perennial,58
0064401472,Zlateh the Goat and Other Stories,Isaac Bashevis Singer,1984,HarperCollins Publishers,24
0156001942,Winter's Tale,Mark Helprin,1995,Harvest Books,84
055326382X,The Dancing Wu Li Masters: An Overview of the New Physics,Gary Zukav,1994,Bantam Books,92
0345418018,The World According to Garp (Ballantine Reader's Circle),John Irving,1997,Ballantine Books,73
0684801469,Farewell To Arms,Ernest Hemingway,1995,Scribner,38
0393961192,The American Constitution: Its Origins and Development, Seventh Edition, Volume II,Alfred H. Kelly,79
9997522052,Collected Works of Emile Zola,Emile Zola,2001,Chatto &amp,20
0872203492,Plato Complete Works,Plato,1997,Hackett Publishing Company,78
0312420145,The Twenty-Seventh City : A Novel (Bestselling Backlist),Jonathan Franzen,2001,Picador,4
0911104542,Cat (kat), n,B Kliban,1975,74
0375401318,Breaking Clean,JUDY BLUNT,2002,Knopf,74
0140253602,Felicia's Journey,William Trevor,1996,Penguin Books,77
0671789422,Possessing the Secret of Joy,Alice Walker,1993,Pocket,50
1566193966,History of Croatia,Stephen Gazi,0,Barnes Noble Books,60
014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books,62
0140077022,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books,48
0679732764,Invisible Man,Ralph Ellison,1995,Vintage Books USA,61
0553273604,Of Love and Shadows,Isabel Allende,1988,Bantam Books,26
0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books,5
0060256672,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974,HarperCollins,59
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,42
1859671500,Glorious Country: Food Crafts Decorating,Liz Trigg,1995,Natl Book Network,5
0810935627,Loving,Charles Sullivan,1992,Harry N Abrams,81
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,12
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,12
0553268449,JITTERBUG PERFUME,TOM ROBBINS,1985,Bantam,90
0684844729,STONES FROM THE RIVER,Ursula Hegi,1997,Simon &amp,88
0395051649,Clarissa (abridged),Samuel Richardson,1962,Houghton Mifflin Company,54
0375705228,Italian Fever: A Novel,Valerie Martin,2000,Vintage Books USA,46
038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,Avon Books,67
0835607860,The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,2000,Quest Books,11
158574218X,Common Phrases: And Where They Come From,John Mordock,2001,The Lyons Press,96
0806996021,Notions And Potions: A Safe, Practical Guide To Creating Magic &amp, Miracles,Susan Bowes,14
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell,17
0316777730,Naked,David Sedaris,1998,Back Bay Books,62
0375501851,White Teeth,Zadie Smith,2000,Random House,18
0877733759,Writing Down the Bones,NATALIE GOLDBERG,1986,Shambhala,65
0805019367,K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.),Sue Grafton,1994,57
